accident_no,accident_date,accident_time,day_week_desc,accident_type_desc,severity,speed_zone,rma,road_geometry_desc,lga_name,latitude,longitude,postcode_crash,age_group,sex,inj_level_desc,no_persons_killed,no_persons_inj_2,no_persons_inj_3,year,month,severity_desc
T20150004455,2015-03-02,12:30:00,Monday,Collision with vehicle,3,60,Arterial Highway,Cross intersection,GLEN EIRA,-37.903526,145.03607,3204,60-64,M,Other injury,0,0,1,2015,3,Other Injury
T20140017792,2014-08-25,07:40:00,Monday,Collision with vehicle,3,999,Arterial Other,T intersection,BAYSIDE,-37.958477,145.0197,3191,40-49,F,Other injury,0,0,1,2014,8,Other Injury
T20150001223,2015-01-17,14:30:00,Saturday,Collision with vehicle,3,999,Arterial Highway,Not at intersection,MORNINGTON PENINSULA,-38.319965,144.71268,3944,26-29,F,Other injury,0,0,1,2015,1,Other Injury
T20130016410,2013-08-08,07:09:00,Thursday,Collision with vehicle,3,60,Local Road,Cross intersection,YARRA RANGES,-37.903004,145.32933,3158,30-39,M,Other injury,0,0,1,2013,8,Other Injury
T20190021602,2019-10-28,07:55:00,Monday,Collision with vehicle,2,60,Arterial Other,T intersection,PORT PHILLIP,-37.849606,144.96501,3206,50-59,M,Serious injury,0,1,0,2019,10,Serious Injury
T20140021651,2014-10-18,14:00:00,Saturday,Collision with vehicle,3,999,Arterial Other,T intersection,BAYSIDE,-37.92559,144.98718,3186,22-25,F,Other injury,0,0,1,2014,10,Other Injury
T20120019314,2012-08-23,18:25:00,Thursday,Collision with vehicle,2,60,Arterial Other,Cross intersection,GLEN EIRA,-37.889214,145.05708,3163,30-39,M,Serious injury,0,1,0,2012,8,Serious Injury
T20180015793,2018-08-21,08:40:00,Tuesday,Struck Pedestrian,3,888,Local Road,Not at intersection,WYNDHAM,-37.902622,144.76309,3030,16-17,M,Not injured,0,0,1,2018,8,Other Injury
T20230005441,2023-03-07,10:55:00,Tuesday,Collision with vehicle,2,50,Local Road,Not at intersection,HOBSONS BAY,-37.83245,144.89354,3015,70+,M,Serious injury,0,1,0,2023,3,Serious Injury
T20170004170,2017-03-01,07:45:00,Wednesday,Collision with vehicle,2,60,Arterial Highway,Not at intersection,MELBOURNE,-37.823254,144.97797,3004,30-39,M,Serious injury,0,1,0,2017,3,Serious Injury
T20230023596,2023-10-10,09:38:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,YARRA,-37.7849,145.0022,3068,40-49,M,Serious injury,0,1,0,2023,10,Serious Injury
T20230005006,2023-02-24,11:45:00,Friday,Collision with vehicle,3,999,Arterial Other,Not at intersection,PORT PHILLIP,-37.85846,144.96921,3182,65-69,M,Other injury,0,0,1,2023,2,Other Injury
T20130003956,2013-02-24,10:30:00,Sunday,Collision with vehicle,3,50,Arterial Other,Not at intersection,MELBOURNE,-37.78488,144.95938,3054,50-59,F,Other injury,0,0,1,2013,2,Other Injury
T20130025212,2013-12-06,20:20:00,Friday,Collision with vehicle,3,60,Arterial Other,Not at intersection,BANYULE,-37.7501,145.03993,3081,40-49,M,Other injury,0,0,1,2013,12,Other Injury
T20180003916,2018-02-27,19:00:00,Tuesday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.815224,144.96747,3000,30-39,M,Other injury,0,0,1,2018,2,Other Injury
T20160013923,2016-06-25,12:05:00,Saturday,Collision with vehicle,2,60,Arterial Highway,T intersection,DANDENONG,-37.978043,145.20686,3175,50-59,M,Serious injury,0,1,0,2016,6,Serious Injury
T20130009380,2013-05-06,18:20:00,Monday,Collision with vehicle,2,60,Arterial Other,Not at intersection,WHITEHORSE,-37.81027,145.14037,3130,40-49,M,Serious injury,0,1,0,2013,5,Serious Injury
T20200002179,2020-01-30,07:55:00,Thursday,Collision with vehicle,3,60,Local Road,Not at intersection,DAREBIN,-37.76957,145.01161,3070,22-25,F,Other injury,0,0,1,2020,1,Other Injury
T20200010164,2020-05-25,11:30:00,Monday,Collision with vehicle,3,50,Arterial Highway,Cross intersection,WHITEHORSE,-37.85132,145.1427,3151,22-25,M,Other injury,0,0,1,2020,5,Other Injury
T20240017348,2024-05-02,17:20:00,Thursday,Collision with vehicle,3,999,Local Road,Not at intersection,MELBOURNE,-37.78307,144.9639,3054,40-49,M,Other injury,0,0,1,2024,5,Other Injury
T20220008839,2022-04-20,08:30:00,Wednesday,Collision with vehicle,2,60,Arterial Other,Not at intersection,BRIMBANK,-37.706882,144.86702,3043,40-49,M,Serious injury,0,1,0,2022,4,Serious Injury
T20190007076,2019-04-14,09:30:00,Sunday,Collision with vehicle,3,60,Arterial Other,T intersection,YARRA,-37.800743,145.00217,3067,18-21,M,Other injury,0,0,1,2019,4,Other Injury
T20160002527,2016-02-03,06:50:00,Wednesday,Collision with vehicle,3,50,Arterial Other,Cross intersection,MANNINGHAM,-37.761024,145.11185,3107,40-49,M,Other injury,0,0,1,2016,2,Other Injury
T20130018053,2013-08-26,09:15:00,Monday,Collision with vehicle,3,60,Arterial Other,T intersection,DAREBIN,-37.75736,144.98068,3071,40-49,M,Other injury,0,0,1,2013,8,Other Injury
T20220025888,2022-11-16,13:38:00,Wednesday,Vehicle overturned (no collision),2,80,Arterial Other,Not at intersection,KNOX,-37.876854,145.20183,3152,60-64,F,Serious injury,0,1,0,2022,11,Serious Injury
T20210013703,2021-06-22,17:30:00,Tuesday,Collision with vehicle,3,50,Local Road,Cross intersection,DAREBIN,-37.76008,145.01303,3071,22-25,F,Other injury,0,0,1,2021,6,Other Injury
T20190025179,2019-11-19,10:00:00,Tuesday,Collision with vehicle,3,40,Local Road,T intersection,DANDENONG,-37.977844,145.22336,3175,70+,M,Other injury,0,0,1,2019,11,Other Injury
T20170005239,2017-03-15,17:20:00,Wednesday,Collision with vehicle,2,50,Local Road,Cross intersection,MORELAND,-37.74274,144.96225,3058,30-39,M,Serious injury,0,1,0,2017,3,Serious Injury
T20240012886,2024-04-29,17:00:00,Monday,Collision with vehicle,3,50,Local Road,Not at intersection,MAROONDAH,-37.834747,145.30663,3137,26-29,M,Other injury,0,0,1,2024,4,Other Injury
T20240012413,2024-05-15,20:34:00,Wednesday,Collision with vehicle,3,60,Arterial Other,Not at intersection,BOROONDARA,-37.812416,145.0281,3101,26-29,M,Other injury,0,0,1,2024,5,Other Injury
T20130015881,2013-08-01,08:30:00,Thursday,Collision with vehicle,3,60,Arterial Other,Cross intersection,PORT PHILLIP,-37.843407,144.97795,3004,26-29,F,Other injury,0,0,1,2013,8,Other Injury
T20240021611,2024-08-17,21:20:00,Saturday,Collision with vehicle,3,999,Local Road,Not at intersection,PORT PHILLIP,-37.864845,144.991,3182,22-25,M,Other injury,0,0,1,2024,8,Other Injury
T20230015987,2023-07-01,11:40:00,Saturday,Collision with vehicle,3,999,Local Road,T intersection,MORELAND,-37.76385,144.95885,3056,30-39,M,Other injury,0,0,1,2023,7,Other Injury
T20240002391,2024-01-29,19:00:00,Monday,Collision with vehicle,3,60,Arterial Other,T intersection,BOROONDARA,-37.82921,145.0381,3122,18-21,F,Other injury,0,0,1,2024,1,Other Injury
T20120003931,2012-02-14,17:00:00,Tuesday,Collision with vehicle,3,40,Local Road,Cross intersection,PORT PHILLIP,-37.86065,144.97589,3182,50-59,F,Other injury,0,0,1,2012,2,Other Injury
T20150008240,2015-04-19,10:00:00,Sunday,Collision with vehicle,3,60,Arterial Other,Not at intersection,HOBSONS BAY,-37.82417,144.89545,3015,40-49,F,Other injury,0,0,1,2015,4,Other Injury
T20140021435,2014-10-17,12:15:00,Friday,Collision with a fixed object,2,50,Arterial Other,T intersection,STONNINGTON,-37.843716,145.00409,3142,30-39,M,Serious injury,0,1,0,2014,10,Serious Injury
T20130024079,2013-11-21,17:33:00,Thursday,Collision with vehicle,3,50,Arterial Highway,Not at intersection,BAYSIDE,-37.907856,145.01036,3187,16-17,M,Other injury,0,0,1,2013,11,Other Injury
T20140011962,2014-06-10,08:45:00,Tuesday,Collision with vehicle,3,60,Local Road,Not at intersection,HOBSONS BAY,-37.84599,144.8921,3015,30-39,M,Other injury,0,0,1,2014,6,Other Injury
T20160000501,2016-01-08,10:35:00,Friday,Collision with vehicle,3,50,Local Road,Not at intersection,BANYULE,-37.74361,145.07986,3084,40-49,M,Other injury,0,0,1,2016,1,Other Injury
T20120018270,2012-08-10,11:45:00,Friday,Collision with vehicle,3,999,Arterial Other,Cross intersection,MORNINGTON PENINSULA,-38.234512,145.05057,3931,26-29,M,Other injury,0,0,1,2012,8,Other Injury
T20200012887,2020-07-03,15:22:00,Friday,Collision with vehicle,3,50,Local Road,T intersection,FRANKSTON,-38.14367,145.1354,3199,30-39,M,Other injury,0,0,1,2020,7,Other Injury
T20130008360,2013-04-01,10:35:00,Monday,Collision with vehicle,3,40,Local Road,T intersection,MELBOURNE,-37.810677,144.95595,3003,30-39,F,Other injury,0,0,1,2013,4,Other Injury
T20190010793,2019-06-09,14:55:00,Sunday,No collision and no object struck,3,40,Local Road,Not at intersection,YARRA,-37.806133,144.98083,3065,40-49,M,Other injury,0,0,1,2019,6,Other Injury
T20120008825,2012-04-15,10:09:00,Sunday,No collision and no object struck,2,80,Arterial Other,Not at intersection,YARRA RANGES,-37.81569,145.32568,3765,30-39,F,Serious injury,0,1,0,2012,4,Serious Injury
T20140022171,2014-10-23,13:20:00,Thursday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.81496,144.9663,3000,30-39,M,Other injury,0,0,1,2014,10,Other Injury
T20140002807,2014-02-11,07:50:00,Tuesday,Collision with vehicle,3,999,Arterial Other,Cross intersection,MORELAND,-37.746536,144.94444,3044,22-25,F,Other injury,0,0,1,2014,2,Other Injury
T20130016234,2013-08-06,17:55:00,Tuesday,Collision with vehicle,3,60,Arterial Other,Cross intersection,MELBOURNE,-37.80404,144.95847,3000,22-25,F,Other injury,0,0,1,2013,8,Other Injury
T20240031257,2024-12-06,07:45:00,Friday,Collision with vehicle,3,50,Arterial Other,Not at intersection,STONNINGTON,-37.841125,145.00923,3142,22-25,M,Other injury,0,0,1,2024,12,Other Injury
T20150013827,2015-07-01,09:50:00,Wednesday,Collision with vehicle,3,50,Local Road,Cross intersection,YARRA,-37.78437,144.98813,3068,18-21,F,Other injury,0,0,1,2015,7,Other Injury
T20150002769,2015-02-08,09:20:00,Sunday,No collision and no object struck,2,60,Arterial Highway,T intersection,DAREBIN,-37.773422,144.99055,3070,50-59,F,Serious injury,0,1,0,2015,2,Serious Injury
T20160018782,2016-08-27,13:30:00,Saturday,Collision with vehicle,3,80,Arterial Highway,Not at intersection,MORNINGTON PENINSULA,-38.221577,145.05531,3931,40-49,M,Other injury,0,0,1,2016,8,Other Injury
T20160007644,2016-04-07,06:30:00,Thursday,No collision and no object struck,3,60,Arterial Other,Not at intersection,YARRA RANGES,-37.79664,145.3752,3796,40-49,F,Other injury,0,0,1,2016,4,Other Injury
