accident_no,accident_date,accident_time,day_week_desc,accident_type_desc,severity,speed_zone,rma,road_geometry_desc,lga_name,latitude,longitude,postcode_crash,age_group,sex,inj_level_desc,no_persons_killed,no_persons_inj_2,no_persons_inj_3,year,month,severity_desc
T20130019546,2013-09-22,17:20:00,Sunday,Collision with vehicle,3,60,Arterial Other,T intersection,PORT PHILLIP,-37.88517,144.9808,3184,26-29,M,Other injury,0,0,1,2013,9,Other Injury
T20240008949,2024-04-10,09:02:00,Wednesday,Collision with vehicle,2,60,Arterial Highway,Cross intersection,MELBOURNE,-37.824665,144.96365,3006,30-39,M,Serious injury,0,1,0,2024,4,Serious Injury
T20240031596,2024-12-09,14:30:00,Monday,Collision with vehicle,3,60,Local Road,Cross intersection,MORELAND,-37.707325,144.91277,3046,50-59,M,Other injury,0,0,1,2024,12,Other Injury
T20140007351,2014-04-07,19:45:00,Monday,Collision with vehicle,3,40,Local Road,Not at intersection,DAREBIN,-37.7384,145.00394,3072,30-39,F,Other injury,0,0,1,2014,4,Other Injury
T20240025610,2024-10-10,12:55:00,Thursday,Collision with vehicle,2,60,Arterial Other,Not at intersection,MELBOURNE,-37.79302,144.97543,3054,26-29,M,Serious injury,0,1,0,2024,10,Serious Injury
T20200021318,2020-11-28,15:00:00,Saturday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.814377,144.96323,3000,26-29,M,Other injury,0,0,1,2020,11,Other Injury
T20240016992,2024-06-26,08:30:00,Wednesday,Collision with vehicle,3,777,Arterial Other,Not at intersection,YARRA,-37.827618,144.99759,3121,30-39,M,Other injury,0,0,1,2024,6,Other Injury
T20230014331,2023-06-20,07:15:00,Tuesday,Collision with vehicle,3,60,Local Road,Not at intersection,BRIMBANK,-37.76754,144.8493,3020,60-64,M,Other injury,0,0,1,2023,6,Other Injury
T20190006179,2019-04-02,07:04:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,STONNINGTON,-37.83532,145.00574,3142,30-39,M,Serious injury,0,1,0,2019,4,Serious Injury
T20210013562,2021-06-21,08:35:00,Monday,Collision with vehicle,3,40,Local Road,T intersection,MONASH,-37.87706,145.1288,3149,5-12,M,Other injury,0,0,1,2021,6,Other Injury
T20130011805,2013-05-28,06:45:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,YARRA,-37.81975,145.01065,3121,30-39,M,Serious injury,0,1,0,2013,5,Serious Injury
T20140007155,2014-04-07,06:00:00,Monday,Collision with vehicle,2,60,Arterial Highway,T intersection,KINGSTON,-37.98554,145.10043,3195,40-49,M,Serious injury,0,1,0,2014,4,Serious Injury
T20180014550,2018-07-31,13:07:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,PORT PHILLIP,-37.829895,144.97133,3006,26-29,M,Serious injury,0,1,0,2018,7,Serious Injury
T20160001564,2016-01-23,07:13:00,Saturday,Collision with vehicle,2,60,Arterial Other,T intersection,BAYSIDE,-37.90891,144.98672,3186,30-39,M,Serious injury,0,1,0,2016,1,Serious Injury
T20210022369,2021-11-05,20:51:00,Friday,Vehicle overturned (no collision),2,40,Local Road,Cross intersection,MELBOURNE,-37.809635,144.94678,3003,26-29,F,Serious injury,0,1,0,2021,11,Serious Injury
T20170004017,2017-02-27,18:22:00,Monday,Collision with vehicle,2,60,Arterial Other,Cross intersection,MONASH,-37.91223,145.10344,3167,30-39,F,Serious injury,0,1,0,2017,2,Serious Injury
T20190007271,2019-04-17,07:20:00,Wednesday,Collision with vehicle,3,50,Local Road,Not at intersection,DAREBIN,-37.779034,145.00816,3070,26-29,F,Other injury,0,0,1,2019,4,Other Injury
T20170003889,2017-02-26,13:45:00,Sunday,Collision with vehicle,3,50,Local Road,T intersection,GLEN EIRA,-37.87709,145.00737,3183,18-21,M,Other injury,0,0,1,2017,2,Other Injury
T20170007452,2017-03-07,09:00:00,Tuesday,No collision and no object struck,3,50,Local Road,Not at intersection,KNOX,-37.85541,145.25214,3152,26-29,M,Other injury,0,0,1,2017,3,Other Injury
T20170010195,2017-05-24,07:00:00,Wednesday,Collision with vehicle,2,40,Local Road,Cross intersection,MORELAND,-37.76656,144.9726,3057,30-39,M,Serious injury,0,1,0,2017,5,Serious Injury
T20140026914,2014-12-28,08:25:00,Sunday,No collision and no object struck,1,50,Local Road,Cross intersection,DANDENONG,-37.95406,145.1493,3171,70+,M,Fatality,1,0,0,2014,12,Fatal
T20210002556,2021-02-04,19:45:00,Thursday,Collision with vehicle,2,50,Local Road,T intersection,KNOX,-37.89124,145.22224,3179,5-12,M,Serious injury,0,1,0,2021,2,Serious Injury
T20250001496,2025-01-18,18:10:00,Saturday,Collision with vehicle,2,40,Local Road,Not at intersection,GLEN EIRA,-37.884052,144.99913,3185,40-49,M,Serious injury,0,1,0,2025,1,Serious Injury
T20210009124,2021-04-24,06:21:00,Saturday,Collision with vehicle,3,50,Local Road,T intersection,DAREBIN,-37.765656,144.9994,3070,40-49,M,Other injury,0,0,1,2021,4,Other Injury
T20150012548,2015-06-13,10:20:00,Saturday,Collision with vehicle,3,999,Local Road,Not at intersection,WHITTLESEA,-37.676514,145.06844,3082,5-12,F,Other injury,0,0,2,2015,6,Other Injury
T20170007362,2016-11-29,07:00:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,MELBOURNE,-37.81523,144.97202,3000,60-64,F,Other injury,0,0,1,2016,11,Other Injury
T20170007362,2016-11-29,07:00:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,MELBOURNE,-37.81523,144.97202,3000,Unknown,U,Not injured,0,0,1,2016,11,Other Injury
T20120004487,2012-02-24,07:20:00,Friday,Collision with vehicle,3,60,Arterial Other,T intersection,YARRA,-37.800743,145.00217,3067,26-29,M,Other injury,0,0,1,2012,2,Other Injury
T20190026403,2019-12-29,07:33:00,Sunday,Collision with vehicle,3,50,Arterial Other,Cross intersection,MAROONDAH,-37.832336,145.24113,3135,40-49,M,Other injury,0,0,1,2019,12,Other Injury
T20160024067,2016-11-06,18:00:00,Sunday,Collision with vehicle,3,60,Arterial Other,Not at intersection,YARRA,-37.78424,144.98305,3068,22-25,M,Other injury,0,0,1,2016,11,Other Injury
T20130016270,2013-08-07,07:54:00,Wednesday,No collision and no object struck,2,60,Local Road,T intersection,MELBOURNE,-37.83391,144.98071,3141,30-39,F,Serious injury,0,1,0,2013,8,Serious Injury
T20220029017,2022-12-20,18:20:00,Tuesday,Fall from or in moving vehicle,3,50,Local Road,Not at intersection,MORELAND,-37.766006,144.9535,3056,30-39,M,Other injury,0,0,1,2022,12,Other Injury
T20160004893,2016-03-04,08:45:00,Friday,Collision with vehicle,2,80,Arterial Highway,Not at intersection,MONASH,-37.92407,145.20311,3170,30-39,M,Serious injury,0,1,0,2016,3,Serious Injury
T20210017437,2021-07-15,09:00:00,Thursday,Collision with vehicle,3,50,Local Road,Cross intersection,PORT PHILLIP,-37.83229,144.96306,3205,30-39,F,Other injury,0,0,1,2021,7,Other Injury
T20210007452,2021-04-02,13:10:00,Friday,Collision with vehicle,3,60,Local Road,Not at intersection,BAYSIDE,-37.926826,144.9899,3186,13-15,M,Other injury,0,0,2,2021,4,Other Injury
T20210007452,2021-04-02,13:10:00,Friday,Collision with vehicle,3,60,Local Road,Not at intersection,BAYSIDE,-37.926826,144.9899,3186,40-49,M,Other injury,0,0,2,2021,4,Other Injury
T20190011343,2019-06-15,16:30:00,Saturday,Collision with vehicle,3,999,,Not at intersection,MONASH,-37.91365,145.13535,3168,22-25,M,Other injury,0,0,1,2019,6,Other Injury
T20200014091,2020-04-27,18:20:00,Monday,No collision and no object struck,3,60,Arterial Other,Not at intersection,BAYSIDE,-37.94646,145.00085,3191,26-29,M,Other injury,0,0,1,2020,4,Other Injury
T20190015781,2019-08-20,18:23:00,Tuesday,Collision with vehicle,2,60,Arterial Highway,Cross intersection,DAREBIN,-37.749374,144.99576,3072,30-39,M,Serious injury,0,1,0,2019,8,Serious Injury
T20130003916,2013-02-22,19:00:00,Friday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.81898,144.96814,3004,30-39,M,Other injury,0,0,1,2013,2,Other Injury
T20140023433,2014-11-10,17:30:00,Monday,Collision with vehicle,3,40,Local Road,Cross intersection,MORELAND,-37.76806,144.97232,3057,40-49,F,Other injury,0,0,1,2014,11,Other Injury
T20240012125,2024-05-13,10:20:00,Monday,Collision with vehicle,3,50,Local Road,Not at intersection,MERRI-BEK,-37.760338,144.94002,3055,40-49,M,Other injury,0,0,1,2024,5,Other Injury
T20200011663,2020-05-30,07:45:00,Saturday,Collision with vehicle,3,999,Arterial Other,Not at intersection,BAYSIDE,-37.98147,145.01869,3193,40-49,M,Other injury,0,0,1,2020,5,Other Injury
T20130019264,2013-09-19,04:22:00,Thursday,Collision with vehicle,2,40,Local Road,Not at intersection,STONNINGTON,-37.8479,144.99397,3181,18-21,F,Serious injury,0,1,0,2013,9,Serious Injury
T20130005069,2013-03-09,09:05:00,Saturday,Collision with vehicle,3,999,Arterial Highway,Not at intersection,FRANKSTON,-38.10247,145.12592,3198,30-39,M,Other injury,0,0,1,2013,3,Other Injury
T20190005191,2019-03-14,17:00:00,Thursday,Collision with vehicle,3,999,Arterial Other,T intersection,PORT PHILLIP,-37.831413,144.9508,3205,30-39,M,Other injury,0,0,1,2019,3,Other Injury
T20180023266,2018-12-11,14:40:00,Tuesday,Collision with vehicle,3,50,Local Road,Not at intersection,KNOX,-37.93909,145.25212,3178,13-15,M,Other injury,0,0,1,2018,12,Other Injury
T20180018211,2018-09-27,05:45:00,Thursday,Collision with vehicle,2,60,Arterial Highway,T intersection,KINGSTON,-38.02776,145.10214,3195,40-49,M,Serious injury,0,1,0,2018,9,Serious Injury
T20170008276,2017-04-24,17:15:00,Monday,Collision with vehicle,3,40,Arterial Other,Cross intersection,YARRA,-37.79834,144.97847,3065,26-29,M,Other injury,0,0,1,2017,4,Other Injury
T20140010906,2014-05-26,17:39:00,Monday,Collision with vehicle,3,50,Local Road,T intersection,BANYULE,-37.742058,145.07922,3084,30-39,M,Other injury,0,0,1,2014,5,Other Injury
T20180024432,2018-12-28,17:00:00,Friday,Collision with vehicle,2,50,Local Road,T intersection,BRIMBANK,-37.722103,144.78036,3037,70+,M,Serious injury,0,1,0,2018,12,Serious Injury
T20220004320,2022-02-26,10:04:00,Saturday,No collision and no object struck,3,60,Arterial Other,Cross intersection,BOROONDARA,-37.789154,145.07367,3104,50-59,M,Other injury,0,0,1,2022,2,Other Injury
T20130016385,2013-08-08,20:00:00,Thursday,Vehicle overturned (no collision),3,60,Local Road,Not at intersection,FRANKSTON,-38.11824,145.1367,3198,40-49,M,Other injury,0,0,1,2013,8,Other Injury
T20140007619,2014-04-12,12:15:00,Saturday,Collision with vehicle,3,60,Arterial Highway,T intersection,MORELAND,-37.741817,144.97171,3058,22-25,M,Other injury,0,0,1,2014,4,Other Injury
T20250008603,2025-03-30,19:41:00,Sunday,Collision with vehicle,3,60,Arterial Other,Cross intersection,BAYSIDE,-37.898327,144.99431,3186,0-4,M,Other injury,0,0,1,2025,3,Other Injury
T20200004766,2020-02-27,20:17:00,Thursday,Collision with vehicle,2,40,Local Road,Cross intersection,MELBOURNE,-37.815228,144.96361,3000,30-39,F,Serious injury,0,1,0,2020,2,Serious Injury
T20130001869,2013-01-27,12:00:00,Sunday,Collision with vehicle,2,40,Local Road,Not at intersection,STONNINGTON,-37.84248,144.99501,3141,30-39,M,Serious injury,0,1,0,2013,1,Serious Injury
T20140008726,2014-04-28,15:25:00,Monday,Collision with vehicle,3,60,Local Road,Not at intersection,MELBOURNE,-37.79715,144.97057,3053,13-15,F,Other injury,0,0,1,2014,4,Other Injury
T20210011654,2021-04-28,21:30:00,Wednesday,Collision with vehicle,2,40,Local Road,Not at intersection,MELBOURNE,-37.816147,144.95657,3000,22-25,F,Serious injury,0,1,0,2021,4,Serious Injury
T20150019782,2015-09-23,18:45:00,Wednesday,Collision with vehicle,2,40,Local Road,Cross intersection,BOROONDARA,-37.829758,145.07086,3124,16-17,M,Serious injury,0,1,0,2015,9,Serious Injury
T20160008947,2016-04-24,14:22:00,Sunday,Collision with vehicle,2,50,Arterial Other,Cross intersection,MELBOURNE,-37.802883,144.94815,3051,26-29,F,Serious injury,0,1,0,2016,4,Serious Injury
T20120025558,2012-11-14,08:30:00,Wednesday,Collision with vehicle,3,40,Local Road,Not at intersection,WHITEHORSE,-37.8512,145.18077,3133,5-12,F,Other injury,0,0,1,2012,11,Other Injury
T20140012046,2014-06-11,06:55:00,Wednesday,Collision with vehicle,3,50,Local Road,Cross intersection,PORT PHILLIP,-37.836235,144.94273,3207,30-39,M,Other injury,0,0,1,2014,6,Other Injury
T20170009241,2017-05-10,20:15:00,Wednesday,Collision with vehicle,3,60,Local Road,Not at intersection,GLEN EIRA,-37.86647,145.01875,3161,26-29,F,Other injury,0,0,1,2017,5,Other Injury
T20210018262,2021-08-27,19:00:00,Friday,Collision with vehicle,3,60,Local Road,Not at intersection,BRIMBANK,-37.77647,144.82555,3020,18-21,M,Other injury,0,0,1,2021,8,Other Injury
T20200004050,2020-01-25,07:10:00,Saturday,Collision with vehicle,3,999,Arterial Other,Not at intersection,BANYULE,-37.760227,145.05154,3079,60-64,M,Other injury,0,0,1,2020,1,Other Injury
T20200009308,2020-05-11,11:00:00,Monday,Collision with vehicle,3,60,Arterial Other,Cross intersection,MOONEE VALLEY,-37.732944,144.8834,3042,70+,M,Other injury,0,0,1,2020,5,Other Injury
T20200017229,2020-09-18,15:30:00,Friday,Vehicle overturned (no collision),2,50,Local Road,Not at intersection,STONNINGTON,-37.847565,144.99402,3181,26-29,M,Serious injury,0,1,0,2020,9,Serious Injury
T20240012165,2024-05-13,15:00:00,Monday,Collision with vehicle,3,60,,T intersection,KINGSTON,-38.002686,145.07898,3195,40-49,M,Other injury,0,0,1,2024,5,Other Injury
T20160017540,2016-08-10,20:47:00,Wednesday,Collision with vehicle,3,50,Local Road,T intersection,HOBSONS BAY,-37.884495,144.78935,3028,22-25,M,Other injury,0,0,1,2016,8,Other Injury
T20130014215,2013-07-08,15:40:00,Monday,Collision with vehicle,3,50,Local Road,Cross intersection,MELBOURNE,-37.814964,144.96068,3000,30-39,F,Other injury,0,0,1,2013,7,Other Injury
T20250006348,2025-03-08,18:01:00,Saturday,Collision with vehicle,3,60,Local Road,Not at intersection,BRIMBANK,-37.781002,144.83276,3020,18-21,M,Other injury,0,0,1,2025,3,Other Injury
T20140004333,2014-01-28,07:45:00,Tuesday,Collision with vehicle,3,60,Arterial Other,Cross intersection,BOROONDARA,-37.823734,145.0448,3122,26-29,M,Other injury,0,0,1,2014,1,Other Injury
T20200007609,2020-04-04,08:30:00,Saturday,Collision with vehicle,3,60,Arterial Other,Not at intersection,YARRA,-37.826115,145.02002,3121,50-59,M,Other injury,0,0,1,2020,4,Other Injury
T20160002339,2016-02-02,17:45:00,Tuesday,Collision with vehicle,3,60,Local Road,Not at intersection,DAREBIN,-37.76954,145.01161,3070,40-49,M,Other injury,0,0,1,2016,2,Other Injury
T20150012419,2015-06-12,08:30:00,Friday,Collision with vehicle,3,40,Local Road,T intersection,HOBSONS BAY,-37.85889,144.89764,3016,16-17,M,Other injury,0,0,1,2015,6,Other Injury
T20150025903,2015-07-02,16:00:00,Thursday,Collision with vehicle,2,60,Arterial Other,Cross intersection,MELBOURNE,-37.808163,144.95169,3003,30-39,M,Serious injury,0,1,0,2015,7,Serious Injury
T20190011852,2019-06-22,14:30:00,Saturday,Collision with vehicle,2,60,Arterial Other,T intersection,MORNINGTON PENINSULA,-38.243282,145.02994,3934,60-64,M,Serious injury,0,1,0,2019,6,Serious Injury
T20200015977,2020-09-01,17:00:00,Tuesday,No collision and no object struck,3,40,Local Road,Not at intersection,WHITTLESEA,-37.685658,144.98958,3074,18-21,F,Other injury,0,0,1,2020,9,Other Injury
T20220013766,2022-06-18,14:36:00,Saturday,Collision with vehicle,3,50,Local Road,Cross intersection,MORELAND,-37.74563,144.97116,3058,5-12,M,Other injury,0,0,1,2022,6,Other Injury
T20180023243,2018-12-10,16:00:00,Monday,Collision with vehicle,3,999,Arterial Highway,T intersection,WHITEHORSE,-37.850376,145.11725,3125,16-17,M,Other injury,0,0,1,2018,12,Other Injury
T20240021075,2024-08-19,05:40:00,Monday,Collision with vehicle,3,40,Arterial Highway,Cross intersection,MONASH,-37.911423,145.1223,3166,60-64,M,Other injury,0,0,1,2024,8,Other Injury
T20230013817,2023-06-14,13:24:00,Wednesday,Collision with a fixed object,3,40,Arterial Other,T intersection,MORELAND,-37.770393,144.96155,3056,40-49,M,Other injury,0,0,1,2023,6,Other Injury
T20230012513,2023-05-29,08:13:00,Monday,Collision with vehicle,3,50,Local Road,Not at intersection,MAROONDAH,-37.820564,145.22177,3134,30-39,M,Other injury,0,0,1,2023,5,Other Injury
T20130013524,2013-06-26,08:45:00,Wednesday,Collision with vehicle,2,50,Local Road,Not at intersection,MELBOURNE,-37.81146,144.97028,3000,50-59,M,Serious injury,0,1,0,2013,6,Serious Injury
T20180014778,2018-08-06,15:00:00,Monday,Collision with vehicle,3,50,Local Road,Not at intersection,YARRA,-37.80551,144.99802,3067,40-49,F,Other injury,0,0,1,2018,8,Other Injury
T20120006075,2012-03-13,07:50:00,Tuesday,Collision with vehicle,3,60,Local Road,T intersection,MARIBYRNONG,-37.821205,144.89597,3013,40-49,F,Other injury,0,0,1,2012,3,Other Injury
T20170010097,2017-05-13,12:30:00,Saturday,Collision with vehicle,3,40,Local Road,Not at intersection,MELBOURNE,-37.81896,144.95454,3000,30-39,M,Other injury,0,0,2,2017,5,Other Injury
T20230028845,2023-12-06,15:00:00,Wednesday,Collision with vehicle,2,40,Arterial Other,Not at intersection,MELBOURNE,-37.82729,144.97122,3006,22-25,M,Serious injury,0,1,0,2023,12,Serious Injury
T20230006858,2023-03-20,18:00:00,Monday,Collision with vehicle,2,40,Local Road,Not at intersection,GLEN EIRA,-37.88958,145.04349,3163,30-39,M,Serious injury,0,1,0,2023,3,Serious Injury
T20120007832,2012-03-28,06:15:00,Wednesday,Collision with vehicle,3,60,Local Road,Not at intersection,MELBOURNE,-37.821037,144.9614,3006,26-29,M,Other injury,0,0,1,2012,3,Other Injury
T20240012916,2024-05-21,07:15:00,Tuesday,Collision with vehicle,3,40,Local Road,Not at intersection,STONNINGTON,-37.849205,144.99376,3181,30-39,M,Other injury,0,0,1,2024,5,Other Injury
T20140002154,2014-02-01,22:54:00,Saturday,Collision with vehicle,3,60,Arterial Other,T intersection,MARIBYRNONG,-37.80638,144.8847,3012,26-29,M,Other injury,0,0,1,2014,2,Other Injury
T20140013268,2014-06-27,21:30:00,Friday,Collision with vehicle,3,60,Arterial Other,T intersection,HUME,-37.59684,144.92188,3064,22-25,M,Other injury,0,0,1,2014,6,Other Injury
T20230014369,2023-06-20,17:00:00,Tuesday,Collision with vehicle,3,50,Arterial Highway,T intersection,MAROONDAH,-37.797054,145.25572,3135,40-49,M,Other injury,0,0,1,2023,6,Other Injury
T20200010729,2020-06-03,16:10:00,Wednesday,Collision with vehicle,3,40,Local Road,Not at intersection,BANYULE,-37.75662,145.06113,3084,30-39,M,Other injury,0,0,1,2020,6,Other Injury
T20160013679,2016-06-22,08:25:00,Wednesday,Collision with vehicle,3,40,Arterial Other,T intersection,YARRA,-37.817806,144.99231,3121,26-29,M,Other injury,0,0,1,2016,6,Other Injury
T20130003083,2013-02-13,07:45:00,Wednesday,Collision with vehicle,3,60,Arterial Other,T intersection,MORELAND,-37.76549,144.96239,3056,22-25,M,Other injury,0,0,2,2013,2,Other Injury
T20150002610,2015-02-05,19:00:00,Thursday,Collision with vehicle,3,50,Local Road,T intersection,MORELAND,-37.771893,144.9414,3055,22-25,M,Other injury,0,0,1,2015,2,Other Injury
T20190006229,2019-04-02,16:00:00,Tuesday,Collision with vehicle,2,60,Arterial Other,T intersection,MORELAND,-37.778843,144.97606,3057,30-39,M,Serious injury,0,1,0,2019,4,Serious Injury
T20190006012,2019-03-14,09:15:00,Thursday,Collision with vehicle,3,60,Arterial Other,T intersection,YARRA,-37.783577,145.01619,3078,30-39,F,Other injury,0,0,1,2019,3,Other Injury
T20250012983,2025-05-03,09:30:00,Saturday,Collision with vehicle,3,60,Arterial Other,Not at intersection,MERRI-BEK,-37.753185,144.945,3055,30-39,F,Other injury,0,0,1,2025,5,Other Injury
T20150027068,2015-12-19,09:00:00,Saturday,Collision with vehicle,3,60,Local Road,T intersection,KINGSTON,-38.060204,145.11949,3196,50-59,M,Other injury,0,0,1,2015,12,Other Injury
T20190012429,2019-07-04,16:34:00,Thursday,Collision with vehicle,2,80,Arterial Highway,Cross intersection,MONASH,-37.893784,145.09335,3166,60-64,M,Serious injury,0,1,0,2019,7,Serious Injury
T20230014060,2023-06-15,20:25:00,Thursday,collision with some other object,3,999,Local Road,Not at intersection,GLEN EIRA,-37.892757,145.05951,3163,50-59,F,Other injury,0,0,1,2023,6,Other Injury
T20240005734,2024-03-06,16:36:00,Wednesday,Collision with vehicle,3,60,Arterial Other,Cross intersection,GLEN EIRA,-37.874073,145.03596,3161,30-39,F,Other injury,0,0,1,2024,3,Other Injury
T20200017328,2020-09-29,13:25:00,Tuesday,Collision with vehicle,2,50,Arterial Other,Not at intersection,YARRA RANGES,-37.85611,145.36537,3788,13-15,M,Serious injury,0,1,0,2020,9,Serious Injury
T20200020627,2020-11-20,12:15:00,Friday,Collision with vehicle,2,50,Arterial Other,T intersection,BAYSIDE,-37.975494,145.01591,3193,70+,M,Serious injury,0,1,0,2020,11,Serious Injury
T20210012972,2021-06-12,14:12:00,Saturday,Collision with vehicle,3,60,Arterial Highway,T intersection,DANDENONG,-37.965176,145.22417,3175,13-15,M,Other injury,0,0,1,2021,6,Other Injury
T20240028450,2024-10-18,16:30:00,Friday,Collision with vehicle,3,40,Arterial Other,Not at intersection,YARRA,-37.798126,144.97649,3065,30-39,F,Other injury,0,0,1,2024,10,Other Injury
T20160007843,2016-04-10,17:35:00,Sunday,Collision with vehicle,3,50,Arterial Other,Multiple intersection,MELBOURNE,-37.79808,144.97485,3065,22-25,M,Other injury,0,0,1,2016,4,Other Injury
T20220017870,2022-07-26,08:42:00,Tuesday,Collision with vehicle,3,40,Local Road,T intersection,BOROONDARA,-37.790264,145.08571,3104,40-49,M,Other injury,0,0,1,2022,7,Other Injury
T20140024131,2014-11-21,14:15:00,Friday,Collision with vehicle,2,60,,Not at intersection,CASEY,-38.02274,145.26994,3976,70+,M,Serious injury,0,1,0,2014,11,Serious Injury
T20140016382,2014-08-08,12:22:00,Friday,Collision with vehicle,2,80,Arterial Other,T intersection,KNOX,-37.893913,145.25266,3180,50-59,M,Serious injury,0,1,0,2014,8,Serious Injury
T20170016233,2017-08-22,10:15:00,Tuesday,Collision with vehicle,3,40,Arterial Other,Cross intersection,YARRA,-37.798576,144.98071,3065,26-29,F,Other injury,0,0,1,2017,8,Other Injury
T20220027553,2021-11-22,16:25:00,Monday,Collision with vehicle,3,60,Arterial Other,Not at intersection,MAROONDAH,-37.7995,145.27855,3136,70+,M,Other injury,0,0,1,2021,11,Other Injury
T20250014543,2025-05-31,08:15:00,Saturday,Collision with vehicle,3,60,Arterial Other,Not at intersection,NILLUMBIK,-37.718765,145.1441,3095,30-39,M,Other injury,0,0,1,2025,5,Other Injury
T20160023206,2016-10-26,19:08:00,Wednesday,Collision with vehicle,3,50,Arterial Other,Not at intersection,BOROONDARA,-37.78988,145.01941,3101,30-39,F,Other injury,0,0,1,2016,10,Other Injury
T20190025053,2019-12-11,19:23:00,Wednesday,Collision with vehicle,3,60,Arterial Other,Cross intersection,YARRA,-37.78027,144.97813,3068,30-39,M,Other injury,0,0,1,2019,12,Other Injury
T20140001027,2013-12-17,16:40:00,Tuesday,Collision with vehicle,3,50,Local Road,T intersection,YARRA,-37.80551,144.99802,3067,22-25,M,Other injury,0,0,1,2013,12,Other Injury
T20230000352,2022-12-27,21:30:00,Tuesday,Collision with vehicle,3,60,Local Road,Cross intersection,PORT PHILLIP,-37.867596,145.00917,3183,22-25,M,Other injury,0,0,1,2022,12,Other Injury
T20150019890,2015-09-25,14:30:00,Friday,Collision with vehicle,2,50,Local Road,Unknown,BOROONDARA,-37.80136,145.00674,3101,13-15,M,Serious injury,0,1,0,2015,9,Serious Injury
T20200012702,2020-06-30,19:30:00,Tuesday,Collision with vehicle,3,40,Local Road,Cross intersection,MELBOURNE,-37.81156,144.96474,3000,30-39,M,Other injury,0,0,1,2020,6,Other Injury
T20170002564,2017-02-07,16:50:00,Tuesday,Collision with vehicle,3,50,Arterial Other,Not at intersection,WYNDHAM,-37.89424,144.75468,3030,13-15,M,Other injury,0,0,1,2017,2,Other Injury
T20210011776,2021-05-24,18:05:00,Monday,Collision with vehicle,3,999,Arterial Other,Not at intersection,MELBOURNE,-37.796543,144.97511,3065,30-39,M,Other injury,0,0,1,2021,5,Other Injury
T20220019495,2022-08-29,16:19:00,Monday,Vehicle overturned (no collision),3,40,Local Road,Cross intersection,MELBOURNE,-37.81797,144.96205,3000,65-69,M,Other injury,0,0,1,2022,8,Other Injury
T20160027087,2016-11-30,13:50:00,Wednesday,No collision and no object struck,1,60,Arterial Other,Not at intersection,WHITEHORSE,-37.83834,145.11852,3128,26-29,M,Fatality,1,0,0,2016,11,Fatal
T20210021338,2021-10-20,17:10:00,Wednesday,Collision with vehicle,2,50,Local Road,T intersection,BANYULE,-37.749317,145.07881,3084,30-39,M,Serious injury,0,1,0,2021,10,Serious Injury
T20190012191,2019-07-01,09:40:00,Monday,Collision with vehicle,2,40,Arterial Other,Cross intersection,MORELAND,-37.74779,144.96547,3058,22-25,M,Serious injury,0,1,0,2019,7,Serious Injury
T20250018572,2025-07-11,18:00:00,Friday,Collision with vehicle,3,999,Local Road,Not at intersection,GLEN EIRA,-37.901382,145.04166,3204,40-49,M,Other injury,0,0,1,2025,7,Other Injury
T20200007619,2020-04-04,16:30:00,Saturday,Collision with vehicle,3,60,Arterial Other,T intersection,GLEN EIRA,-37.916477,145.05994,3165,22-25,F,Other injury,0,0,1,2020,4,Other Injury
T20130006970,2013-04-04,17:10:00,Thursday,Collision with vehicle,2,70,Arterial Other,Not at intersection,CASEY,-38.081768,145.27266,3977,50-59,M,Serious injury,0,1,0,2013,4,Serious Injury
T20160001161,2016-01-12,16:00:00,Tuesday,Collision with vehicle,3,40,Arterial Other,Cross intersection,YARRA,-37.819504,145.00829,3121,26-29,M,Other injury,0,0,1,2016,1,Other Injury
T20230003334,2023-02-08,08:00:00,Wednesday,Collision with vehicle,3,60,Local Road,Cross intersection,MELBOURNE,-37.792244,144.9684,3054,30-39,M,Other injury,0,0,1,2023,2,Other Injury
T20140003328,2013-12-10,09:10:00,Tuesday,Collision with vehicle,3,60,Arterial Other,T intersection,MORELAND,-37.75423,144.95386,3058,30-39,F,Other injury,0,0,1,2013,12,Other Injury
T20160006232,2016-03-20,19:15:00,Sunday,Vehicle overturned (no collision),3,50,,Not at intersection,FRANKSTON,-38.10728,145.15164,3198,50-59,M,Other injury,0,0,1,2016,3,Other Injury
T20160010872,2016-05-18,07:28:00,Wednesday,Collision with vehicle,2,60,Local Road,Not at intersection,BAYSIDE,-37.90771,144.99252,3186,40-49,M,Serious injury,0,1,0,2016,5,Serious Injury
T20130009089,2013-05-01,17:00:00,Wednesday,Collision with vehicle,3,999,Local Road,Not at intersection,DAREBIN,-37.760654,144.99295,3071,26-29,M,Other injury,0,0,1,2013,5,Other Injury
T20120004063,2012-02-20,07:35:00,Monday,Collision with vehicle,3,50,Local Road,T intersection,MELBOURNE,-37.810726,144.97559,3002,40-49,M,Other injury,0,0,1,2012,2,Other Injury
